orden,columna,bloque,componente,variable_base,tipo_pandas_muestra
210,fev2_cv,resultado_fvl,cv,fev2,float64
211,fev2_skewness,resultado_fvl,skewness,fev2,float64
212,fev2_pre,resultado_fvl,pre,fev2,float64
213,fev2_post,resultado_fvl,post,fev2,float64
214,fev2fev6_predicted,resultado_fvl,predicted,fev2fev6,float64
215,fev2fev6_sd,resultado_fvl,sd,fev2fev6,float64
216,fev2fev6_cv,resultado_fvl,cv,fev2fev6,float64
217,fev2fev6_skewness,resultado_fvl,skewness,fev2fev6,float64
218,fev2fev6_pre,resultado_fvl,pre,fev2fev6,float64
219,fev2fev6_post,resultado_fvl,post,fev2fev6,float64
220,fev2fvc_predicted,resultado_fvl,predicted,fev2fvc,float64
221,fev2fvc_sd,resultado_fvl,sd,fev2fvc,float64
222,fev2fvc_cv,resultado_fvl,cv,fev2fvc,float64
223,fev2fvc_skewness,resultado_fvl,skewness,fev2fvc,float64
224,fev2fvc_pre,resultado_fvl,pre,fev2fvc,float64
225,fev2fvc_post,resultado_fvl,post,fev2fvc,float64
226,fev3_predicted,resultado_fvl,predicted,fev3,float64
227,fev3_sd,resultado_fvl,sd,fev3,float64
228,fev3_cv,resultado_fvl,cv,fev3,float64
229,fev3_skewness,resultado_fvl,skewness,fev3,float64
230,fev3_pre,resultado_fvl,pre,fev3,float64
231,fev3_post,resultado_fvl,post,fev3,float64
232,fev3fev6_predicted,resultado_fvl,predicted,fev3fev6,float64
233,fev3fev6_sd,resultado_fvl,sd,fev3fev6,float64
234,fev3fev6_cv,resultado_fvl,cv,fev3fev6,float64
235,fev3fev6_skewness,resultado_fvl,skewness,fev3fev6,float64
236,fev3fev6_pre,resultado_fvl,pre,fev3fev6,float64
237,fev3fev6_post,resultado_fvl,post,fev3fev6,float64
238,fev3fvc_predicted,resultado_fvl,predicted,fev3fvc,float64
239,fev3fvc_sd,resultado_fvl,sd,fev3fvc,float64
240,fev3fvc_cv,resultado_fvl,cv,fev3fvc,float64
241,fev3fvc_skewness,resultado_fvl,skewness,fev3fvc,float64
242,fev3fvc_pre,resultado_fvl,pre,fev3fvc,float64
243,fev3fvc_post,resultado_fvl,post,fev3fvc,float64
244,fev6_predicted,resultado_fvl,predicted,fev6,float64
245,fev6_sd,resultado_fvl,sd,fev6,float64
246,fev6_cv,resultado_fvl,cv,fev6,float64
247,fev6_skewness,resultado_fvl,skewness,fev6,float64
248,fev6_pre,resultado_fvl,pre,fev6,float64
249,fev6_post,resultado_fvl,post,fev6,float64
250,fev6fvc_predicted,resultado_fvl,predicted,fev6fvc,float64
251,fev6fvc_sd,resultado_fvl,sd,fev6fvc,float64
